sigma_SE,sigma_M32
0.32876,0.5217355
0.4092665,0.731067
0.373724,0.6749004999999999
0.2534145,1.5705900000000002
0.2088315,1.34581
0.147629,0.100062
0.25615350000000003,0.579934
0.26628399999999997,0.3869655
0.3147945,1.60087
0.241246,0.5797065
0.16079149999999998,0.120707
0.27272399999999997,0.3295425
0.2250545,0.257603
0.6116345,0.609515
0.478953,0.879551
0.2321515,0.1735915
0.2415945,1.432555
0.2190635,1.15433
0.16309,0.1945565
0.19583,0.1850895
0.269486,0.963411
0.235528,1.47591
0.206652,0.941692
0.138566,0.1073435
0.425654,0.4482925
0.2219885,1.41506
0.348724,0.2866685
0.2679555,0.5041549999999999
0.351698,0.8557845
0.2452505,1.563005
0.479916,0.374072
0.2331995,0.98375
0.2974285,0.32104
0.346136,0.224036
0.1448795,0.1078245
0.3986655,1.4984449999999998
0.290019,0.223555
0.400257,0.298193
0.3183005,1.96268
0.5264845,0.36812
0.3714315,0.646685
0.4414135,0.4904915
0.314476,0.4025155
0.2111675,0.154482
0.4053515,0.265127
0.330857,0.3109555
0.3859985,1.354135
0.165821,0.1401675
0.320553,0.2453705
0.2337335,0.2535205
0.2295255,1.64188
0.15957749999999998,0.120679
0.452806,0.3964515
0.243603,1.37754
0.3811545,0.517172
0.220152,1.18279
0.2321715,1.64204
0.254562,0.89591
0.15008300000000002,0.1222825
0.297626,0.529121
0.6795925,0.812136
0.27747849999999996,1.1574
0.454682,0.242318
0.4718165,0.494547
0.264456,0.2125205
0.2566695,1.567315
0.2047365,0.16986
0.233015,0.198066
0.33662000000000003,0.21669
0.3948065,0.249033
0.2447675,0.2072305
0.225699,0.1882025
0.4736405,0.5374765
0.327554,0.404239
0.4174855,0.3955245
0.2613025,0.9859245
0.238272,1.351835
0.311791,0.521907
0.361402,0.378968
0.5364935,0.4682815
0.215417,0.3869
0.272431,1.076355
0.206415,0.29753850000000004
0.2287705,0.4934835
0.220532,1.05054
0.5208554999999999,0.5220515
0.2624385,0.2733445
0.5562205,0.837054
0.2342105,1.35435
0.236989,1.47357
0.2320415,1.139415
0.182766,0.1523725
0.389381,1.2963749999999998
0.204782,0.3807765
0.247908,0.9596495
0.2680455,1.6172
0.457674,0.4240035
0.5383279999999999,0.448932
0.221678,0.723631
0.2256645,1.174845
0.3469585,0.314527
0.614996,0.2372495
0.2326565,0.15711799999999998
0.271865,0.437718
0.247549,0.472906
0.425167,0.243947
0.23111350000000003,1.58706
0.3864425,0.5254464999999999
0.291173,0.278853
0.1822175,0.13426950000000001
0.190655,0.177065
0.27141499999999996,0.27912950000000003
0.3522035,0.957726
0.1750235,0.208961
0.2499935,1.60904
0.2498315,0.470129
0.152204,0.110998
0.34078600000000003,0.34781850000000003
0.3302835,0.3389995
0.243585,1.60931
0.750038,0.345904
0.2283375,1.40915
0.4026715,0.3767325
0.28448450000000003,0.25577300000000003
0.15109050000000002,0.15207749999999998
0.291746,0.753145
0.131719,0.09889625
0.211627,0.3524305
0.4912725,1.797475
0.4184245,0.4458425
0.5600434999999999,1.367565
0.412613,1.88897
0.448359,1.972895
0.1961955,0.117686
0.238677,0.19227350000000001
0.215651,0.212105
0.241647,1.66423
0.186964,0.162648
0.25952450000000005,0.349981
0.264468,0.156636
0.4427275,0.481548
0.2794465,0.219575
0.4282015,0.7304014999999999
0.2329005,0.3496075
0.1713865,0.1228475
0.508841,0.2464645
0.186099,0.1915495
0.29572699999999996,0.2257525
0.2416955,0.2342395
0.16289199999999998,0.118331
0.2444325,0.379966
0.292163,0.2703155
0.384846,1.313835
0.421512,0.5102365
0.4100065,1.91477
0.17461749999999998,0.156821
0.3719235,1.306115
0.43756,0.680063
0.128273,0.14550000000000002
0.7039865000000001,0.320815
0.2215905,1.51776
0.264398,0.1883205
0.245728,0.212447
0.2603135,0.1913625
